date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:34:52	75684/75684	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:34:51%20GMT	https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web	openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web.html	(from )
01:34:53	198/198	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%226137842d-186%22	https://openclassrooms.com/robots.txt		(from )
01:34:55	211127/211127	---MC-	200	added ('OK')	application/pdf	date:Tue,%2007%20Sep%202021%2023:34:55%20GMT	https://openclassrooms.com/fr/courses/5543061/certificate_example	openclassrooms.com/fr/courses/5543061/certificate_example.pdf	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web)
01:34:55	70202/70202	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:34:55%20GMT	https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5543068-comprenez-ce-quest-le-dom	openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5543068-comprenez-ce-quest-le-dom.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web)
01:34:57	84413/84413	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:34:56%20GMT	https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5577476-accedez-aux-elements-du-dom	openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5577476-accedez-aux-elements-du-dom.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web)
01:34:58	82222/82222	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:34:57%20GMT	https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5577491-modifiez-le-dom	openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5577491-modifiez-le-dom.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web)
01:34:59	80257/80257	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:34:59%20GMT	https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5578156-ecoutez-des-evenements	openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5578156-ecoutez-des-evenements.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web)
01:35:00	80330/80330	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:34:59%20GMT	https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5578181-recuperez-des-donnees-utilisateurs-avec-les-evenements	openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5578181-recuperez-des-donnees-utilisateurs-avec-les-evenements.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web)
01:35:01	68120/68120	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:35:01%20GMT	https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/exercises/3133	openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/exercises/3133.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web)
01:35:02	77062/77062	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:35:01%20GMT	https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5577576-comprenez-ce-que-sont-des-api-et-un-service-web	openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5577576-comprenez-ce-que-sont-des-api-et-un-service-web.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web)
